Date	Open	High	Low	Close	Adj Close	Volume
2000-01-03	13.690600	13.757800	13.594500	13.623400	5.703928	8244258
2000-01-04	13.450400	13.536900	13.219800	13.267900	5.555087	8522096
2000-01-05	13.143000	13.210200	12.912400	12.970000	5.430362	12159826
2000-01-06	NaN	NaN	NaN	NaN	NaN	NaN
2000-01-07	13.248700	13.248700	12.998900	13.133400	5.498774	62261945
2000-01-10	13.277500	13.277500	12.902800	12.922000	5.410264	58740351
2000-01-11	12.874000	12.893200	12.537700	12.662600	5.301655	6761292
2000-01-12	12.643400	12.643400	12.393600	12.518500	5.286116	8266755
2000-01-13	12.489700	12.537700	12.105400	12.211100	5.156311	9372670
2000-01-14	12.297500	12.480100	12.230300	12.451200	5.257697	8538334
2000-01-17	12.537700	12.537700	12.307100	12.335900	5.209013	6825078
2000-01-18	12.307100	12.326400	11.942000	12.076500	5.099476	9698973
2000-01-19	11.855600	12.057300	11.817200	12.057300	5.091367	13027456
2000-01-20	12.105400	12.163000	11.922800	12.038100	5.083261	9459286
2000-01-21	11.942000	12.009300	11.749900	11.788300	4.977780	6786147
2000-01-24	12.047700	12.047700	11.817200	11.846000	5.002144	5863878
2000-01-25	11.836400	12.259100	11.797900	12.105400	5.111680	9429700
2000-01-26	12.297500	12.537700	12.153400	12.480100	5.269902	9120798
2000-01-27	12.614600	13.114200	12.547300	12.970000	5.476770	13662089
2000-01-28	13.171800	13.171800	12.585700	12.922000	5.456500	16119882
2000-01-31	12.931600	12.979600	12.585700	12.729900	5.375386	9868382
2000-02-01	12.902800	13.008500	12.691400	12.902800	5.448391	9530744
2000-02-02	12.931600	12.931600	12.672200	12.864400	5.432179	7648463
2000-02-03	12.893200	13.114200	12.691400	12.970000	5.476770	7766488
2000-02-04	13.114200	13.114200	12.729900	12.777900	5.395651	10516943
2000-02-07	12.806700	12.854700	12.508900	12.537700	5.294225	8135157
2000-02-08	12.528100	13.018100	12.384000	13.018100	5.497080	13714517
2000-02-09	13.066100	13.066100	12.653000	12.701000	5.363180	9070279
2000-02-10	12.585700	12.681800	12.489700	12.508900	5.282063	8404877
2000-02-11	12.528100	13.623400	12.297500	13.469600	5.687731	24338357
2000-02-14	14.411200	16.178900	14.026900	15.035600	6.349001	59647471
2000-02-15	15.275800	15.275800	14.593700	14.651400	6.186763	23093519
2000-02-16	14.699400	14.939600	14.564900	14.709000	6.211085	19374516
2000-02-17	14.574500	14.843500	14.574500	14.709000	6.211085	10019217
2000-02-18	14.660900	14.795500	14.526500	14.728200	6.219196	13772503
2000-02-21	14.411200	14.699400	14.411200	14.641700	6.182666	10726791
2000-02-22	14.411200	14.603300	14.411200	14.440000	6.097497	14620960
